source,title,url,summary
Lonely Planet,Best places to visit in Europe,https://www.lonelyplanet.com/articles/best-places-to-visit-europe,"Explore the best places to visit in Europe for beautiful views, epic history, rich culture, fabulous food and dazzling variety."
Lonely Planet,How to save money on a trip to Europe,https://www.lonelyplanet.com/articles/local-tips-to-save-money-on-european-trip,"Looking to save on a trip to Europe? Our local writers in France, Italy, Spain, Greece, Ireland, Denmark and Portugal share their money-saving tips."
Lonely Planet,Week-long Croatia itinerary,https://www.lonelyplanet.com/articles/how-to-see-croatia-in-a-week,"Follow this week-long itinerary by bus and ferry from Zagreb to Dubrovnik, linking cities, islands and beaches."
Lonely Planet,Stay at a European university this summer,https://www.lonelyplanet.com/articles/university-sleepover-europe-summer,"From Dublin to Vienna, here are some of Europe's best university accommodations that open for public bookings in the summer months."
Lonely Planet,Europe destinations for solo travelers,https://www.lonelyplanet.com/articles/best-places-for-solo-travel-europe,Want to try traveling solo in the new year? Europe is a great place for your first solo trip. We asked our expert writers for their top places to go.
Lonely Planet,Best time to visit Europe,https://www.lonelyplanet.com/articles/best-time-to-visit-europe,"Given that Europe shines bright all year, the decision on when to travel to Europe depends on your budget and what you hope to do while there."
Lonely Planet,The 11 best places to go in August 2026,https://www.lonelyplanet.com/articles/where-to-go-in-august,"From Nordic wilderness to sunny beaches and festivals, discover the best places to visit in August for culture, nature and late-summer escapes."
Lonely Planet,"Top 10 things to do Toledo, Spain",https://www.lonelyplanet.com/articles/top-things-to-do-in-toledo-spain,"Toledoâs historic heart has remained largely untouched over time, with the chance to explore ruins, learn Jewish history, try new foods and enjoy Renaissance art."
Lonely Planet,The best things to do in Paris this summer,https://www.lonelyplanet.com/articles/paris-events-summer,"From swimming in the Seine to open-air concerts and Bastille Day fireworks, here's your guide to the best Paris summer events."
Lonely Planet,Europe's summer heatwave: what travelers need to know,https://www.lonelyplanet.com/articles/europe-summer-heatwave-travel-advice,Europe is facing an unprecedented summer heatwave and travelers are facing the full impact. Here's what you need to know to stay safe in the heat.
Lonely Planet,"The best things to do in Corfu, Greece",https://www.lonelyplanet.com/articles/top-things-to-do-in-corfu-greece,"From Corfu Town and the Corfu Trail to Myrtiotissa Beach and Paleokastritsa, explore the best things to do in Corfu for your next trip."
Lonely Planet,"A guide to Vichy, France",https://www.lonelyplanet.com/articles/guide-to-vichy-france,"Plan a trip to Vichy, France, with spa tips, art nouveau architecture, WWII history and easy train links from Paris and Lyon."
Lonely Planet,The 13 best things to do in Portugal,https://www.lonelyplanet.com/articles/top-things-to-do-in-portugal,"Discover the best things to do in Portugal, from fado in Lisbon and road trips on the N2 to wine regions, monasteries and giant waves in NazarÃ©."
Lonely Planet,"5 of the best food and drink experiences in Burgundy, France",https://www.lonelyplanet.com/articles/best-food-drink-experiences-burgundy-france,"From wine tastings in Beaune and Dijon to mustard, Bresse chicken and Charolais beef, here are the best food and drink experiences in Burgundy, France."
Lonely Planet,Where to go in Europe in September,https://www.lonelyplanet.com/articles/where-to-go-in-europe-in-september,"Plan the best European trip in September at six great destinations, from English villages and Italian food cities to warm coasts and mountain roads."
Lonely Planet,A guide to Spain's La Tomatina festival,https://www.lonelyplanet.com/articles/la-tomatina-guide-first-time,"Every August, roughly 20,000 people descend upon BuÃ±ol, Spain, for a raucous and very messy tomato-throwing festival called La Tomatina. Here's what to know."
Lonely Planet,How to visit Greece on a budget,https://www.lonelyplanet.com/articles/greece-on-a-budget,"Stretch your euros in Greece with practical tips on transport, food, accommodation and sightseeing so you can explore more for less."
Lonely Planet,Summer travel trends 2026: where the world is going next,https://www.lonelyplanet.com/articles/summer-travel-trends-2026,"Which destinations are big in travel this summer? Find out with our guide to top summer travel trends for 2026, from ""coolcations"" to Asia's megacities."
Lonely Planet,21 books in our travel bags this summer,https://www.lonelyplanet.com/articles/summer-book-recommendations,"Discover the books weâre reading on the road this summer, the places they're set, and why we're recommending them."
Lonely Planet,Guide to the Douro Valley,https://www.lonelyplanet.com/articles/guide-to-douro-valley-portugal,Hereâs how to make the most of a visit to this fabled food and wine region in Portugal.
